Pos.;Leistung;Menge;Einheit;Quelle;Datei
0010;Geräte, Werkzeuge und sonstige Betriebsmittel, die zur;1,0;Psch;gaeb;Vergabeunterlagen/LV-Radverkehr-Leipz_Str-2026-06.X83
0020;Baustelle von allen Geräten, Anlagen, Einrichtungen und;1,0;Psch;gaeb;Vergabeunterlagen/LV-Radverkehr-Leipz_Str-2026-06.X83
0030;Bauschild nach Unterlagen des AG anfertigen, liefern, aufstellen, vorhalten, rückbauen und entsorgen.;1,0;St;gaeb;Vergabeunterlagen/LV-Radverkehr-Leipz_Str-2026-06.X83
0010;Lichtbilder über den wesentlichen Bauablauf des Bau-;300,0;St;gaeb;Vergabeunterlagen/LV-Radverkehr-Leipz_Str-2026-06.X83
0020;Beweissicherung des Geländes;1,0;Psch;gaeb;Vergabeunterlagen/LV-Radverkehr-Leipz_Str-2026-06.X83
0010;Schutz für Baumstamm durch Mantel mit Polsterung her-;35,0;St;gaeb;Vergabeunterlagen/LV-Radverkehr-Leipz_Str-2026-06.X83
0020;Schutz für Baumwurzelbereich, zum Schutz vor Verdich-;23,0;m2;gaeb;Vergabeunterlagen/LV-Radverkehr-Leipz_Str-2026-06.X83
0010;Bestandsvermessung auf der Grundlage folgender Vorgaben;1,0;psch;gaeb;Vergabeunterlagen/LV-Radverkehr-Leipz_Str-2026-06.X83
0020;Vermessungsarbeiten für die Absteckung von Bauteilen;1,0;Psch;gaeb;Vergabeunterlagen/LV-Radverkehr-Leipz_Str-2026-06.X83
0010;Beprobungsplan fuer die gesamte Baustelle erstellen.;1,0;psch;gaeb;Vergabeunterlagen/LV-Radverkehr-Leipz_Str-2026-06.X83
0020;Belastungsfahrzeug als Gegengewicht (z.B. ausreichend;10,5;h;gaeb;Vergabeunterlagen/LV-Radverkehr-Leipz_Str-2026-06.X83
0030;Statischer Plattendruckversuch nach DIN 18 134 fuer;21,0;St;gaeb;Vergabeunterlagen/LV-Radverkehr-Leipz_Str-2026-06.X83
0040;Entsorgungskonzept entsprechend Richtlinien in Abstimmung;1,0;psch;gaeb;Vergabeunterlagen/LV-Radverkehr-Leipz_Str-2026-06.X83
0050;Bohrkern für Kontrollprüfungen nach Angabe des AG ent-;7,0;St;gaeb;Vergabeunterlagen/LV-Radverkehr-Leipz_Str-2026-06.X83
0060;Probegefäß zur Aufnahme von Baustoffproben, für Kon-;6,0;St;gaeb;Vergabeunterlagen/LV-Radverkehr-Leipz_Str-2026-06.X83
