Pos.;Leistung;Menge;Einheit;Quelle;Datei
1.1.1;Demontage vorhandener Trafozellentore;10,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
1.1.2;Demontage vorhandene Stahl-Eingangstür;1,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
1.1.3;Demontage vorhandene Aluminium-Eingangstür mit Drahtglasfüllung;1,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
1.1.4;Demontage vorhandenes Tor LKW-Einfahrt;1,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
1.1.5;Ausbauen und Entsorgen Drahtverglasung aus Aluminiumfenster;12,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
2.1.1;Außentürelement 1, 2-flügelig, einbruchhemmend RC3, mit Oberblende;1,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
2.1.2;Außentürelement 2;1,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
2.1.3;Außentürelement 3;1,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
2.1.4;Außentürelement 4;1,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
2.1.5;Außentürelement 5;1,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
2.1.6;Außentürelement 6;1,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
2.1.7;Außentürelement 7;1,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
2.1.8;Außentürelement 8;1,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
2.1.9;Außentürelement 9;1,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
2.1.10;Erdungsanschluss / Potentialausgleich an Außentürelement;9,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
2.1.11;Potentialausgleich zwischen Außentürelementen;7,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
3.1.1;Außentorelement als 3-flügeliges Falt-Schiebetor, handbetätigt, RC3, mit Schlupftür;1,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
4.1.1;Stahleingangstür, 1-flügelig, einbruchhemmend RC3;1,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
4.1.2;Stahleingangstür, 1-flügelig, einbruchhemmend RC3;1,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
5.1.1;Gitterelement, 1-teilig, einbruchhemmend RC3;9,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
6.1.1;Liefern und Montieren einer einbruchhemmenden Polycarbonat-Ersatzverglasung P4A;12,0;St;gaeb-flat;Vergabeunterlagen/812W526B041.D83
1;Demontage der vorhandenen Trafozellentore einschließlich Zargen, Befestigungsmittel, Anschlussprofile, Dichtstoffe und sonstiger zugehöriger Bauteile.;10,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
2;Demontage der vorhandenen Stahl-Eingangstür einschließlich Eckzarge, Befestigungsmittel, Anschlussprofile, Dichtstoffe und sonstiger zugehöriger Bauteile.;1,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
3;Demontage der vorhandenen Aluminium-Eingangstür einschließlich Einbaurahmen, Befestigungsmittel, Anschlussprofile, Dichtstoffe und sonstiger zugehöriger Bauteile.;1,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
4;Demontage des vorhandenen Tores in der LKW-Einfahrt einschließlich Zargen, Befestigungsmittel, Anschlussprofile, Dichtstoffe und sonstiger zugehöriger Bauteile.;1,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
5;Vorhandene Drahtverglasung, Dicke ca. 7 mm, Abmessungen ca. B/H = 1.400 / 905 mm, aus Aluminiumfenster ausbauen. Verglasung ist mit Glashalteleisten eingefasst. Leistung einschließlich vorsichtigem Ausbau bzw. Lösen der Glashalteleisten, Entfernen vorhandener Dicht- und Befestigungsmaterialien, bruc;12,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
1;Liefern und fachgerecht montieren eines außenliegenden Außentürelementes als 2-flügelige Stahlblech-Drehtür mit Gehflügel und Standflügel, nach außen aufschlagend, mit feststehender Oberblende.;1,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
2;wie vor, jeoch;1,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
3;wie vor, jeoch;1,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
4;wie vor, jeoch;1,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
5;wie vor, jeoch;1,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
6;wie vor, jeoch;1,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
7;wie vor, jeoch;1,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
8;wie vor, jeoch;1,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
9;wie vor, jeoch;1,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
10;An der Stahlzarge des Außentürelementes ist ein verzinkter Flachstahl als Anschlusslasche für den bauseitigen Erdungs- bzw. Potentialausgleichskreislauf fachgerecht anzubringen.;9,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
11;Die Stahlzargen der Außentürelemente sind untereinander für den Potentialausgleich mit einem verzinkten Flachstahl bzw. Flacheisen elektrisch leitfähig zu verbinden.;7,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
1;Liefern und fachgerecht montieren eines außenliegenden Außentorelementes als handbetätigtes, 3-flügeliges Falt-Schiebetor / Falttor, nach außen öffnend, vollflächig geschlossen, mit integrierter Schlupftür.;1,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
1;Liefern und fachgerecht montieren eines außenliegenden bzw. im Außenwandbereich angeordneten Stahleingangstürelementes als 1-flügelige Drehtür, vollflächig geschlossen, mit Eckzarge.;1,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
2;Liefern und fachgerecht montieren eines außenliegenden bzw. im Außenwandbereich angeordneten Stahleingangstürelementes als 1-flügelige Drehtür, vollflächig geschlossen, mit Eckzarge.;1,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
1;Liefern und fachgerecht montieren eines 1-teiligen einbruchhemmenden Gitterelementes als feststehendes Stahlgitterelement zur Sicherung einer Öffnung bzw. Fassadenfläche.;9,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
1;EInbausituation Ersatzverglasung;12,0;St;gaeb;Vergabeunterlagen/812W526B041.X83
