Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Aufenthalts-, Sozial- und Lagerräume für Erbringung der beschriebenen Leistungen gemäß der einschlägigen Vorschriften der Bau-Berufsgenossenschaft und der örtlichen Aufsichtsbehörden erstellen, inkl. Lager für technologisch erforderliches Material, Personalunterkunft u. a.;1,0;psch;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
10;Erstellen und Abbauen Arbeits- und Schutzgerüst, gem. DIN EN 12811-1 und DIN 4420-1, Standgerüst, längenorientiert, Fassadengerüst DIN EN 12810-1, Lastklasse 4 (3 kN/m2), Breitenklasse SW06, Höhenklasse H 1, alle Gerüstlagen;145,0;m2;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
20;Mehrpreis für Vorposition Erstellen und Abbauen Arbeits- und Schutzgerüst, gem. DIN EN 12811-1 und DIN 4420-1, Standgerüst, längenorientiert, Fassadengerüst DIN EN 12810-1, Lastklasse 4 (3 kN/m2) für partielle Stellung des Gerüstes den Treppen des Kellerabganges;7,0;m2;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
30;Gebrauchsüberlassung für Arbeits- und Schutzgerüst DIN EN 12811-1 und DIN 4420-1;555,0;m2Wo;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
40;zusätzlicher Seitenschutz DIN EN 12811-1 an einer Gerüstlage auf der Gerüstinnenseite aufbauen und entfernen;6,0;m;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
50;Gebrauchsüberlassung für zusätzlichen Seitenschutz DIN EN 12811-1 und DIN 4420-1;24,0;mWo;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
60;Aufbauen und Abbauen Treppenaufgang für Gerüst, 1-läufig, Verankerung am Gerüst, Treppenaufgang von Standfläche bis zur obersten Gerüstlage, Höhe über 16 m bis 17 m, Laufbreite (Stufenlänge) über 0,5 m bis 0,75 m;1,0;St;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
70;Gebrauchsüberlassung für Treppenaufgang für Gerüst,;4,0;StWo;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
80;Gerüstunterbau für den Ausgleich von Unebenheiten in der Aufstandsfläche der Gerüste, Höhenausgleich durch Unterlage von Bohlen;7,5;m;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
90;Gebrauchsüberlassung für den Ausgleich von Unebenheiten in der Aufstandsfläche der Gerüste, Höhenausgleich durch Unterlage von Bohlen;30,0;mWo;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
100;Ermittlung der Lage der Decken über 2. OG und über 1. OG in Bezug auf die Außenseite des südöstlichen Giebels des Kloster-Ostflügels für den lagegerechten Einbau der Verankerung der Giebelwand in die Deckenscheiben und Ermittlung der Lage des ersten Sparrenpaars hinter der Giebelwand für die temporä;1,0;psch;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
110;temporäre Verankerung der Giebelspitze des südöstlichen Giebels des Kloster-Ostflügels;1,0;psch;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
120;"Windrispenband, b = 40 mm, t = 1,5 mm,  S350 GD +  Z 275, Korrosionsschutz mit Zinkbeschichtung, 275 g/m2, beidseitig, Lochdurchmesser 5 mm, charakteristischer Wert der Tragfähigkeit min (17/kmod ; 1,85 x n), Einbau Windrispenband innenseitig, im 3. OG, am südöstlichen Giebel des Kloster-Ostflügels,";14,0;m;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
130;Füllholz NH, C24, 18 cm/18 cm, zwischen die Sparren, im Bereich der Windrispenbandanschlüsse,;3,7;m;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
140;Abbruch Holzdielung, kleinteilig, Fußboden 3. OG, für Anschluss Windrispenbänder an Stuhlrähme, Einzelfäche bis 0,75 m2, Stärke Dielen 25 mm, vernagelt,;1,5;m2;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
150;Nacharbeiten der Bestandsverbindung Sparren/Pfette durch  Einbau neuer Schraubverbindung, Holzbauschraube, Vollgewinde, Edelstahl A4, d = 8 mm , l =  350 mm;20,0;St;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
160;Verankerung Giebelwand in die Deckenscheiben/ in Bestandsdachstuhl mit Verankerungen bestehend aus;6,0;St;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
10;Probeentnahme und Laboranalytik, Untersuchung des Mörtels des Bestandsmauerwerkes auf Gipsanteile im Vorfeld der konstruktiven Mauerwerksausbesserung;1,0;psch;gaeb;Vergabeunterlagen/07_BCW_FL038 Bestandssicherung Kloster_LV.X83
