Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;DN 100;50,0;m;gaeb;Vergabeunterlagen/1114-26_LV.X83
2;DN 125;5,0;m;gaeb;Vergabeunterlagen/1114-26_LV.X83
3;DN 150 (DN/OD 160);20,0;m;gaeb;Vergabeunterlagen/1114-26_LV.X83
4;DN 200 (DN/OD 200);35,0;m;gaeb;Vergabeunterlagen/1114-26_LV.X83
5;Formstücke als Zulage in Form von Bögen 15...45 Grad zu Abwasserkanal nach DIN EN 1610 bestehend aus Vollwand-PP mit Steckmuffe, nach DIN EN 14758-1. Ringsteifigkeit mind. 10kN/m² nach ISO 9969 (SN10).;50,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
6;Formstücke in Form von Bögen 15...45 Grad zu Abwasserkanal nach DIN EN 1610 bestehend aus Vollwand-PP mit Steckmuffe, nach DIN EN 14758-1. Ringsteifigkeit mind. 10kN/m² nach;3,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
7;Formstücke in Form von Übergangsrohren zu Abwasserkanal nach DIN EN 1610 bestehend aus Vollwand-PP mit Steckmuffe, nach DIN EN 14758-1.  Ringsteifigkeit mind. 10kN/m² nach;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
8;Formstücke in Form von Übergangsrohren zu Abwasserkanal nach DIN EN 1610 bestehend aus Vollwand-PP mit Steckmuffe, nach DIN EN 14758-1. Ringsteifigkeit mind. 10kN/m² nach;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
9;Formstücke in Form von Übergangsrohren zu Abwasserkanal nach DIN EN 1610 bestehend aus Vollwand-PP mit Steckmuffe, nach DIN EN 14758-1. Ringsteifigkeit mind. 10kN/m² nach;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
10;Formstücke als Zulage in Form von Muffen zu Abwasserkanal nach DIN EN 1610 bestehend aus Vollwand-PP mit Steckmuffe, nach DIN EN 14758-1. Ringsteifigkeit mind. 10kN/m² nach;10,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
11;Formstücke in Form von Muffen zu Abwasserkanal nach;5,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
12;Formstücke in Form von Muffen zu Abwasserkanal nach;5,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
13;Formstücke in Form von Muffen zu Abwasserkanal nach;5,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
14;Formstücke als Zulage in Form von Muffenstopfen zu Abwasserkanal nach DIN EN 1610 bestehend aus Vollwand-PP mit Steckmuffe, nach DIN EN 14758-1. Ringsteifigkeit mind. 10kN/m² nach ISO 9969 (SN10).;20,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
15;Formstücke als Zulage in Form von Muffenstopfen zu Abwasserkanal nach DIN EN 1610 bestehend aus Vollwand-PP mit Steckmuffe, nach DIN EN 14758-1. Ringsteifigkeit mind. 10kN/m² nach ISO 9969 (SN10).;2,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
16;Formstücke in Form von Muffenstopfen zu Abwasserkanal nach DIN EN 1610 bestehend aus Vollwand-PP mit Steckmuffe, nach DIN EN 14758-1. Ringsteifigkeit mind. 10kN/m² nach ISO 9969 (SN10).;5,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
17;Formstücke in Form von Muffenstopfen zu Abwasserkanal nach DIN EN 1610 bestehend aus Vollwand-PP mit Steckmuffe, nach DIN EN 14758-1. Ringsteifigkeit mind. 10kN/m² nach ISO 9969 (SN10).;5,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
18;Formstücke als Zulage in Form von Abzweigen zu Abwasserkanal nach DIN EN 1610 bestehend aus Vollwand-PP mit Steckmuffe, nach DIN EN 14758-1. Ringsteifigkeit mind. 10kN/m² nach ISO 9969 (SN10).;2,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
19;Formstücke als Zulage in Form von Abzweigen zu Abwasserkanal nach DIN EN 1610 bestehend aus Vollwand-PP mit Steckmuffe, nach DIN EN 14758-1. Ringsteifigkeit mind. 10kN/m² nach ISO 9969 (SN10).;3,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
20;Formstücke in Form von Einfachabzweigen 45°;6,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
21;Formstücke in Form von Abzweigen zu Abwasserkanal nach DIN EN 1610 bestehend aus Vollwand-PP mit Steckmuffe, nach DIN EN 14758-1. Ringsteifigkeit mind. 10kN/m² nach ISO 9969 (SN10).;8,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
22;Rohrbettung aus Sand-Feinkies bis 3 mm,;11,0;m3;gaeb;Vergabeunterlagen/1114-26_LV.X83
23;Regenfallrohr Alu DN 100;40,0;m;gaeb;Vergabeunterlagen/1114-26_LV.X83
24;Die Regenrinnen befinden sich bauseits an den PV-Gestell-Konstruktionen.;10,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
25;Anschluss an Grundleitung;10,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
26;Anschluss der neu verlegten Regenwassergrundleitungen;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
1;Revisionsschacht SWS 1 DN 400;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
2;Revisionsschacht SWS 1 DN 600;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
3;Schachtabdeckung DN 400 Klasse B 125;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
4;Schachtabdeckung DN600  Klasse B 125;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
1;DICHTHEITSPRÜFUNG nach DIN EN 1610;110,0;m;gaeb;Vergabeunterlagen/1114-26_LV.X83
2;DICHTHEITSPRÜFUNG nach DIN EN 1610;2,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
3;Kamerabefahrung;110,0;m;gaeb;Vergabeunterlagen/1114-26_LV.X83
4;LEITUNGSSPÜLUNG;110,0;m;gaeb;Vergabeunterlagen/1114-26_LV.X83
1;Technische Bestandsdokumentation;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
2;Technische Bestandsdokumentation im PDF-Format;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
3;Auf der Grundlage der an den AN übergebenen Ausführungs- pläne, des Leistungsverzeichnisses und der koordinierten Werksplanung des AN sind Bestandspläne zur Dokumentation der vom AN errichteten Anlagen anzufertigen mit Eintragung:;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
4;Bestandspläne,;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
1;Technische Bestandsdokumentation;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
2;Technische Bestandsdokumentation im PDF-Format;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
3;Auf der Grundlage der an den AN übergebenen Ausführungs- pläne, des Leistungsverzeichnisses und der koordinierten Werksplanung des AN sind Bestandspläne zur Dokumentation der vom AN errichteten Anlagen anzufertigen mit Eintragung:;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
4;Bestandspläne,;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
1;Vermessen, Absteckungen und Vermarkungen;1,0;psch;gaeb;Vergabeunterlagen/1114-26_LV.X83
2;Rohrmarkierung;110,0;m;gaeb;Vergabeunterlagen/1114-26_LV.X83
3;verschied. Natursteinpflaster aufnehmen, lagern;6,0;m2;gaeb;Vergabeunterlagen/1114-26_LV.X83
4;Abtragen Oberboden;17,0;m3;gaeb;Vergabeunterlagen/1114-26_LV.X83
5;Graben lösen und lagern;115,0;m3;gaeb;Vergabeunterlagen/1114-26_LV.X83
6;Verbau für Graben;60,0;m2;gaeb;Vergabeunterlagen/1114-26_LV.X83
7;Verfüllung Baugruben/Rohrgraben profilgerecht,;115,0;m3;gaeb;Vergabeunterlagen/1114-26_LV.X83
1;Photovoltaik-Modul 275 Wp,;285,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
2;Generatoranschlusskasten mit Eingängen für 2 PV-Strings, Ausgängen für 2 Wechselrichtereingänge und 3 DC-Überspan- nungsableitern Typ 1+2 und 2-poligen DC-Vorsicherungen.;10,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
3;Stecker und Buchsen von vorstehend beschriebenen;20,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
4;Das Tragsystem,;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
5;Regenrinne, kastenförmig, aus verzinktem Stahl;650,0;m;gaeb;Vergabeunterlagen/1114-26_LV.X83
6;Erstellung eines prüffähigen Statikberichts für die geplante Agrar-Photovoltaikanlage.;1,0;psch;gaeb;Vergabeunterlagen/1114-26_LV.X83
1;Wechselrichter 8 kW, 3-phasig nach VDE AR N 4105;10,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
2;PV-Datenlogger zur Steuerung des Einspeisemanagement,;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
3;Programmierung und Inbetriebnahme der Wechselrichter und der Ertragsmessung.;1,0;psch;gaeb;Vergabeunterlagen/1114-26_LV.X83
1;Stromwandlerset 1250/5A, Genauigkeitsklasse 1, 3-teilig;2,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
2;Elektronisches Universalmessgerät;2,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
3;Fernwirkeinrichtung nach Vorgaben des Verteilernetzbetreibers;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
4;12 HE IT-Wand-/Standgehäuse in Flatpack-Verpackung zur werkzeugfreien Montage;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
5;TE Steckdosenleiste 8-fach, Schuko;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
1;Normkabelverteilerschrank als WR-Sammler;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
2;NA-Schutzgerät nach VDE AR-N 4105;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
3;Lastumschalter mit Motorantrieb 4-polig 160A;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
4;4-poliger Lastschalter DIN VDE 0660 Teil 107, Nennspannung 660 V AC,;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
5;4-poliger Lastschalter DIN VDE 0660;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
6;Leistungsschalter, 3p, 160A, 50kA;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
7;NH-Sicherungseinsatz;3,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
8;Leitungsschutzschalter DIN 43 880 und DIN VDE 0641;2,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
9;SCHUKO-Steckdose ohne Klappdeckel;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
10;3~Phasenwächter zur Überwachung der drei Netzphasen;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
11;Überspannungsableiter Klasse 1/2;1,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
1;Kunststoffleitung  NYY-J- 5 x 4 mm2,;200,0;m;gaeb;Vergabeunterlagen/1114-26_LV.X83
2;NYCWY 4 x 90/50 mm²  in Kabelgraben;110,0;m;gaeb;Vergabeunterlagen/1114-26_LV.X83
3;IBC FlexiSun 1 x 4 mm² PV1-F, rot oder schwarz;600,0;m;gaeb;Vergabeunterlagen/1114-26_LV.X83
4;Kabel 0,6/1 kV NYY-I 16 mm², grüngelb,;20,0;m;gaeb;Vergabeunterlagen/1114-26_LV.X83
1;Kunststoffpanzerrohr,;40,0;m;gaeb;Vergabeunterlagen/1114-26_LV.X83
1;Kernbohrung mit Diamantbohrgerät in bewehrte Betonwände;2,0;St;gaeb;Vergabeunterlagen/1114-26_LV.X83
