Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Untergrund von Staub, leichten Verschmutzungen durch Bauschutt, lose Teile, Mörtel- und Farbreste reinigen, Schutt aufnehmen, einschl. Entsorgung des Abfalls.;120,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
2;Die Untergrundfeuchte ist mittels CM-Gerät vor den Bodenbelagsarbeiten zu bestimmen.;1,0;St;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
3;Untergrund aus dünnschichtigem Heizestrich, neu eingebaut, nach DIN EN 13813, eben nach DIN 18202, zur Haftungsverbesserung in einem Arbeitsgang mit einer 16er-Körnung, anschleifen (Reinigungsschliff), absaugen mit leistungsfähigem Industriestaubsauger, einschl. fachgerechter Entsorgung des Abfalls.;120,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
4;Untergrund aus dünnschichtigem Heizestrich im Falle größerer Unebenheiten partiell bis 5 mm abschleifen (erforderliche Arbeitsgeräte wie z.B. Diamantschleifgerät o.ä. ist einzukalkulieren) oder abfräsen, absaugen, einschl. Entsorgung des Abfalls.;50,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
5;Schnellgrundierung zur direkten Klebung mit Reaktionsklebstoffen vollflächig auf den trockenen, festen Untergrund (dünnschichtiger Heizestrich) aufbringen.;120,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
6;Spachteln und Ausgleichen der grundierten Estrichfläche, vollflächig, mit selbstverlaufender, emissionsarmer, kunstharzvergüteter Zementspachtelmasse. Spannungsarm und für höchste Beanspruchungen geeignet.;120,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
7;Mehrpreis, je 1 mm Mehrstärke der Spachtelung.;50,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
8;Übergänge zu anderen Belägen zum Höhenausgleich bis 5 mm anspachteln und ca. auf 1 Meter auslaufen lassen, mit einer zementären, standfesten, emissionsarmen und caseinfreien Spachtelmasse, entspr. RAL-UZ 113 (Blauer Engel) sowie nachfolgendes Vorstreichen zur Erzielung der Haftung nachfolgender Spac;5,0;m;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
9;Gespachtelte Fläche nachschleifen und entstauben.;120,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
10;Zusätzliche Feuchtemessung pro Messpunkt, falls die maximale Restfeuchte bei der ersten Messung (im Grundpreis enthalten) überschritten wurde, einschl. Erstellen eines Messprotokolls.;1,0;St;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
1;Bodenbelag aus PVC, Fischgrätenmuster-Verlegung, Unterschicht Trittschallrücken aus PVC-Schaumstoff DIN EN 651, heterogene Oberschicht, phthalatfrei, mit werkseitiger Oberflächenvergütung, renovierbar, keine zusätzliche Einpflege während der Nutzungszeit notwendig.;120,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
2;Mehrpreis für das sorgfältige, exakte Anarbeiten der PVC / Vinyl-Bodenbeläge an aufgehende oder höhengleich angrenzende Bauteile, Wände, runde und eckige Stützen oder Einrichtungsgegenstände, an denen keine Sockelleisten zur Ausführung kommen.;10,0;m;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
3;Erstreinigung und Erstpflege von Bodenbelag und Sockelleisten aus PVC / Vinyl nach der Grundreinigung.;120,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
4;Lückenloses, dauerhaftes und lagegesichertes Abdecken vorbenannter Bodenbeläge zum Schutz vor schädigenden Einwirkungen aus dem weiteren Baugeschehen mit dafür geeigneten Materialien, sowie anschließendes fachgerechtes Entsorgen dieser, inkl. Entfernung der Abdeckung auf Anordnung der örtlichen Bauü;120,0;m2;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
1;Bündiges Abschneiden des Überstandes der Randdämmstreifen, nach Abschluss der Verlegearbeiten, für Bodenbelagsarbeiten, anfallende Abfallstoffe sind ordnungsgemäß zu entsorgen.;60,0;m;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
2;Sockelleiste aus Nadelholz geölt, Querschnitt B/H 20/100 mm, mit gefaster Sockelkante, liefern und einbauen.;60,0;m;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
3;jedoch;1,0;St;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
4;Verfugung, elasto-plastisch mit Ein-Komponenten-Dichtstoff auf Acryldispersionsbasis (weiß, überstreichbar), Fuge glatt streichen, einschl. notwendiger Flankenvorbehandlung an den Anschlussflächen und Hinterlegen der Fugenhohlräume mit geeignetem Hinterstopfmaterial;60,0;m;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
5;Anschlüsse an Türzargen, Profile, Sockelleisten etc. mit geeigneter dauerelastischer 1-K Fugendichtungsmasse nach Empfehlung des Herstellers.;60,0;m;gaeb;Vergabeunterlagen/P-24DGW_260729_LV12b Bodenbelagsarbeiten.x83
