Pos.;Leistung;Menge;Einheit;Quelle;Datei
1.1.10;Metallgekapselte Schaltanlage GHV AV;1,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.20;Leistungsschalter MCCB Hauptschalter 3polig 400A 400/415VAC Kat.A Betätigungsspannung 230VAC Anzeige Schaltstellung elektron. Auslösung Schutzfunktion LI;1,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.30;NH-Sicherungslasttrennschalter LeistenBF 400VAC Gr.1 3polig NH- Sicherungseinsatz 250A;2,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.40;NH-Sicherungslasttrennschalter LeistenBF 400VAC Gr.00 3polig NH- Sicherungseinsatz 125A;16,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.50;Leistungsschütz 3polig AC-1 45kW 230V Betätigungsspannung 230VAC 1S 1Ö;2,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.60;Blitzstrom-Ableiter/Überspannungs-Ableiter, Kombigerät;1,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.70;Anschlussblockklemme 5polig bis 120mm2 Schraubbefest.;2,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.80;Feldverteilereinsatz 72 TE;1,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.90;Sicherungslasttrennschalter Gr.D02 400VAC AC-22 3-polig Sicherungseinsatz;1,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.100;Fehlerstromschutzschalter RCBO TypA unverzögert Charakter.B 10A Fehlerstrom 30mA einpolig+N 230VAC Hilfsschalter 1W;4,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.110;Leitungsschutzschalter 230/400VAC Ausschaltvermögen 10kA einpolig Hilfsschalter 1W Charakter.B;2,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.120;Digitale Astro-Zeitschaltuhr, 2 Kanäle, 7 Tage;1,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.130;Gruppenschalter 25A 1 Schließer 230V AC 1PLE;2,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.140;Installationsrelais 16A 2S 230V;2,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.150;Reihenklemme bis 4 mm2;16,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.160;Neutralleiter-Reihenklemme bis 4 mm2;5,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.170;Schutzleiter-Reihenklemme bis 16 mm2;8,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.180;Reihenklemme 690V 3-stöckig NT-L-PE bis 2,5mm2 Tragschiene;8,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.1.190;Übersichtsschaltplan;1,0;St;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
1.2.10;Kabel NYCWY 4x16RE/16 vorh.Kabelrinne/Kanal;105,0;m;gaeb-flat;Vergabeunterlagen/2 Elektroinstallation Kalthalle.D83
