Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Ö;1,0;St;gaeb;Vergabeunterlagen/Leistungsverzeichnis/2026005-E26005-3.x83
20;Kunststoff-Fenster aus Hohlkammerprofil mit innerer Stahlrohrverst;4,0;St;gaeb;Vergabeunterlagen/Leistungsverzeichnis/2026005-E26005-3.x83
30;Mehrpreis zu vorbeschriebener Fensterposition f;4,0;St;gaeb;Vergabeunterlagen/Leistungsverzeichnis/2026005-E26005-3.x83
40;Innere Fensterb;4,0;St;gaeb;Vergabeunterlagen/Leistungsverzeichnis/2026005-E26005-3.x83
50;L;4,0;St;gaeb;Vergabeunterlagen/Leistungsverzeichnis/2026005-E26005-3.x83
60;Mehrpreis zu vorbeschriebener Au;4,0;St;gaeb;Vergabeunterlagen/Leistungsverzeichnis/2026005-E26005-3.x83
10;Hauseingangst;1,0;St;gaeb;Vergabeunterlagen/Leistungsverzeichnis/2026005-E26005-3.x83
20;Mehrpreis f;1,0;St;gaeb;Vergabeunterlagen/Leistungsverzeichnis/2026005-E26005-3.x83
30;Dr;1,0;St;gaeb;Vergabeunterlagen/Leistungsverzeichnis/2026005-E26005-3.x83
40;Mehrpreis f;1,0;St;gaeb;Vergabeunterlagen/Leistungsverzeichnis/2026005-E26005-3.x83
50;Schutz der vorbeschriebenen Au;1,0;St;gaeb;Vergabeunterlagen/Leistungsverzeichnis/2026005-E26005-3.x83
60;Mehrpreis f;1,0;St;gaeb;Vergabeunterlagen/Leistungsverzeichnis/2026005-E26005-3.x83
80;Ausstattung der vorbeschriebenen Au;1,0;St;gaeb;Vergabeunterlagen/Leistungsverzeichnis/2026005-E26005-3.x83
