Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Einrichten der Baustelle für nachfolgend beschriebene;8,0;St;gaeb;Vergabeunterlagen/1_LV/F41-11-01-L01-Blankett-260727.x83
20;Staubschutz durch einfaches Abhängen von Folie herstellen, unterhalten während der Bauzeit und nach Fertigstellung abbrechen;200,0;m2;gaeb;Vergabeunterlagen/1_LV/F41-11-01-L01-Blankett-260727.x83
30;Schutz von Fußböden, Geländern,Treppen und sonstigen horizontalen;200,0;m2;gaeb;Vergabeunterlagen/1_LV/F41-11-01-L01-Blankett-260727.x83
40;Einbauten mit PE-Folie gegen Verschmutzung während der;200,0;m2;gaeb;Vergabeunterlagen/1_LV/F41-11-01-L01-Blankett-260727.x83
50;Innengerüst als Rahmengerüst verfahrbar;1,0;St;gaeb;Vergabeunterlagen/1_LV/F41-11-01-L01-Blankett-260727.x83
60;Bemusterungstermin vor Ort mit Bauherr, Nutzer und Architekten,;1,0;St;gaeb;Vergabeunterlagen/1_LV/F41-11-01-L01-Blankett-260727.x83
70;Bei den vorh. Fenstern sind im Vorfeld Untersuchungen zur Belastung der Farbanstriche mit Schwermetallen durchgeführt worden und es sind erhöhte Werte für Blei, Chrom und Kupfer nachgewiesen worden.;1,0;psch;gaeb;Vergabeunterlagen/1_LV/F41-11-01-L01-Blankett-260727.x83
80;Bei Arbeiten an der Außenseite der Fenster (äußerer Revisionsanstrich);1,0;psch;gaeb;Vergabeunterlagen/1_LV/F41-11-01-L01-Blankett-260727.x83
90;Baubegleitende Dokumentation aller im LV beschriebenen;1,0;St;gaeb;Vergabeunterlagen/1_LV/F41-11-01-L01-Blankett-260727.x83
100;Überarbeiten Einfachfenster, 84cm x 170cm, EG,;6,0;St;gaeb;Vergabeunterlagen/1_LV/F41-11-01-L01-Blankett-260727.x83
110;Überarbeiten Einfachfenster, 56cm x 78cm, EG,;1,0;St;gaeb;Vergabeunterlagen/1_LV/F41-11-01-L01-Blankett-260727.x83
120;Überarbeiten Einfachfenster, 98cm x 200cm, 1.OG,;2,0;St;gaeb;Vergabeunterlagen/1_LV/F41-11-01-L01-Blankett-260727.x83
