Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Pauschale für das Einholen der notwendigen;1,0;PSCH;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
20;Herstellung und Vorhaltung Absperrungsvorrichtungen der Deichwege gem. VS Blatt 0 der Verkehrssicherungsmaßnahme.;1,0;PSCH;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
30;Erstellung von Informationsblättern für die von der;1,0;PSCH;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
10;Errichtung von Höhenfestpunkten für die Dauer der Baumaßnahme als Bolzen, auf Untergrund nach Wahl des AN herstellen. Die Lage der Höhenfestpunkte ist mit dem vom AG beauftragten Vermessungsbüro abzustimmen.;1,0;PSCH;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
20;Erstabsteckung / Bauabsteckung durchführen.;1,0;PSCH;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
30;Bestandsvermessung durchführen.;1,0;PSCH;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
40;Hierfür erforderliche Koordinierungsleistungen, wie z.B. Terminabstimmungen, Schaffung von Baufreiheit, Koordinierung der Kontrollvermessungen während den Bauphasen, sind in die folgende Position einzukalkulieren.;1,0;PSCH;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
50;Vorhandene Deichkilometersteine zurückbauen und fachgerecht entsorgen, vollständig entfernen, Löcher verfüllen. Einschließlich Entsorgung aller Reststoffe und aller Nebenarbeiten.;3,0;St;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
60;Kilometrierungssteine liefern und ausgebaute und fehlende Steine ersetzen, auf Landseite, 25 cm von Böschungsoberkante, Steinoberkante 50 cm über Deichoberfläche).;5,0;St;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
10;Planum herstellen nach Regelprofil auf Böschungen;1965,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
20;Gelagerten Oberboden im Zwischenlager des AN laden,;390,0;m³;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
30;In Mieten oder Haufen gelagerten überschüssigen;175,0;m³;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
40;Saatgut liefern und Ansaat mit gebietsheimischem Saatgut nach DIN 18918 herstellen,;1965,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
50;1-Jährige Fertigstellungspflege (nach ZTV LA-StB 05, DIN 18916, DIN 18919 sowie landschaftspflegerischen Begleitplan) an den neu hergestellten Rasenflächen für Landschaftsrasen fachgerecht durchführen.;1965,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
60;Entwicklungspflege im Sinne der ZTV LA-StB 05, DIN 18916, DIN 18919 sowie landschaftspflegerischen Begleitplan über einen Zeitraum von 3 Jahren durchführen.;1965,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
70;Kauf und Aufbringung einer zusätzlichen Mulchdecke;1965,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
10;Planum herstellen nach Regelprofil auf Böschungen;435,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
20;Gelagerten Oberboden im Zwischenlager des AN laden,;70,0;m³;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
30;In Mieten oder Haufen gelagerten überschüssigen;45,0;m³;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
40;Saatgut liefern und Ansaat mit gebietsheimischem Saatgut nach DIN 18918 herstellen,;435,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
50;1-Jährige Fertigstellungspflege (nach ZTV LA-StB 05, DIN 18916, DIN 18919 sowie landschaftspflegerischen Begleitplan) an den neu hergestellten Rasenflächen für Landschaftsrasen fachgerecht durchführen.;435,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
60;Entwicklungspflege im Sinne der ZTV LA-StB 05, DIN 18916, DIN 18919 sowie landschaftspflegerischen Begleitplan über einen Zeitraum von 3 Jahren durchführen.;435,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
70;Kauf und Aufbringung einer zusätzlichen Mulchdecke;435,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
10;Planum herstellen nach Regelprofil auf Böschungen;950,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
20;Gelagerten Oberboden im Zwischenlager des AN laden,;190,0;m³;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
30;In Mieten oder Haufen gelagerten überschüssigen;25,0;m³;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
40;Saatgut liefern und Ansaat mit gebietsheimischem Saatgut nach DIN 18918 herstellen,;950,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
50;1-Jährige Fertigstellungspflege (nach ZTV LA-StB 05, DIN 18916, DIN 18919 sowie landschaftspflegerischen Begleitplan) an den neu hergestellten Rasenflächen für Landschaftsrasen fachgerecht durchführen.;950,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
60;Entwicklungspflege im Sinne der ZTV LA-StB 05, DIN 18916, DIN 18919 sowie landschaftspflegerischen Begleitplan über einen Zeitraum von 3 Jahren durchführen.;950,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
70;Kauf und Aufbringung einer zusätzlichen Mulchdecke;950,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
10;Planum herstellen nach Regelprofil auf Böschungen;5340,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
20;Gelagerten Oberboden im Zwischenlager des AN laden,;970,0;m³;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
30;In Mieten oder Haufen gelagerten überschüssigen;555,0;m³;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
40;Saatgut liefern und Ansaat mit gebietsheimischem Saatgut nach DIN 18918 herstellen,;5340,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
50;1-Jährige Fertigstellungspflege (nach ZTV LA-StB 05, DIN 18916, DIN 18919 sowie landschaftspflegerischen Begleitplan) an den neu hergestellten Rasenflächen für Landschaftsrasen fachgerecht durchführen.;5340,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
60;Entwicklungspflege im Sinne der ZTV LA-StB 05, DIN 18916, DIN 18919 sowie landschaftspflegerischen Begleitplan über einen Zeitraum von 3 Jahren durchführen.;5340,0;m²;gaeb;Vergabeunterlagen/LV und Baubeschreibung/Angebotsaufforderung.X83
