Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Liefern, herstellen, vorhalten, entfernen und entsorgen von Fußbodenabdeckungen mit Folie einschl. Abkleben und rückstandslose Entfernung aller Klebstoffreste.;580,0;m²;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
2;Liefern, herstellen, vorhalten, entfernen und entsorgen von Fensterabdeckungen mit Folie;130,0;m²;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
3;Liefern, herstellen, vorhalten, entfernen und entsorgen von Türabdeckungen mit Folie.;90,0;m²;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
4;Liefern, herstellen, vorhalten, entfernen und entsorgen von Türabdeckungen mit Folie;20,0;m²;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
5;Vorbereitende Maßnahmen:;1350,0;m²;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
6;Vorbereitende Maßnahmen:;50,0;m;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
7;Vollflächiges Grundieren der vorhandenen Wandflächen;1350,0;m²;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
8;Vollflächiges Grundieren der vorhandenen Laibungsflächen;50,0;m;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
9;Liefern und Tapezieren auf Stoß oder Doppelschnitt;1350,0;m²;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
10;Liefern und Tapezieren auf Stoß oder Doppelschnitt;50,0;m;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
11;Anstrich der Wandflächen mit scheuerbeständigem Egalisationsanstrich, deckend mit Dispersionsfarbe beschichten.;1350,0;m²;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
12;Zulage zu vorgenannter Position für;50,0;m²;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
13;Anstrich der Fensterlaibungen mit scheuerbeständiger Dispersionsfarbe nach DIN 53778,;50,0;m;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
14;Einbau einer Überbrückung/ Prävention  von Putzrissen;25,0;m;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
15;Liefern und fachgerecht einbringen eines hochwertigen, plastoelastischen, überstreichbaren Acryl-Dichtstoffes für Anschlussfugen zwischen unterschiedlichen Bauteilen.;450,0;m;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
1;Flächen der Abhangdecken von geringfügigen Verunreinigungen durch Staub, Spachtel und;545,0;m²;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
2;Flächen der Decken (Gipskarton) in;545,0;m²;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
3;Vollflächiges Grundieren der vorhandenen;545,0;m²;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
4;Anstrich der Deckenflächen (Gipskarton) mit scheuerbeständiger Dispersionsfarbe;235,0;m²;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
5;Anstrich der Deckenflächen (Akustikdecke) mit scheuerbeständiger Dispersionsfarbe;310,0;m²;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
1;Auf- und Abbauen eines Hilfgerüstes für die Bearbeitung der Wandflächen im Treppenraum in einer Höhe zwischen 3m bis max. 5m;25,0;m2;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
2;"Gerüst Treppenhaus der Vorposition; Gebrauchsüberlassung.";50,0;m2Wo;gaeb;Vergabeunterlagen/1060-26_LV-Malerarbeiten.X83
