Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Baustelleneinrichtung für alle Pflanzstandorte sowie sämtliche, in der Leistungsbeschreibung aufgeführten Leistungen;1,0;psch;gaeb;Vergabeunterlagen/DE142016.X83
20;Erforderliche Aufwendungen und Abstimmungen des AN für das;1,0;psch;gaeb;Vergabeunterlagen/DE142016.X83
30;Aufstellung, Unterhaltung, Beseitigung der Verkehrs- und Baustellensicherung unter Einhaltung der gültigen Vorschriften, der Forderungen der zuständigen Behörden, mit allen weiteren erforderlichen Hilfsmitteln u.ä..;1,0;psch;gaeb;Vergabeunterlagen/DE142016.X83
40;Bauzaun H 2m aufstellen, vorhalten, umsetzen und räumen.;50,0;m;gaeb;Vergabeunterlagen/DE142016.X83
50;Herstellen von Suchschürfen zur Feststellung von;5,0;m3;gaeb;Vergabeunterlagen/DE142016.X83
60;Endreinigung aller Wege und Straßen,;1,0;psch;gaeb;Vergabeunterlagen/DE142016.X83
70;Erschwerniszulage räumlich getrennte Standorte. Zulageposition für die Gesamtmaßnahme aufgrund der Leistungserbringung an 10 räumlich getrennten Ausführungsstandorten mit einer Entfernung von bis zu;1,0;psch;gaeb;Vergabeunterlagen/DE142016.X83
80;Abstimmung und Markierung der Pflanzstandorte und Strauchgatter bei einer gesondert zu vereinbarenden Ortsbegehung mit dem Auftraggeber. Bei dem Termin werden die Standorte der Pflanzungen durch den Auftraggeber angezeigt, diese sind dann entsprechend für die Ausführung zu markieren und zu dokumenti;1,0;psch;gaeb;Vergabeunterlagen/DE142016.X83
90;Bestandsaufnahme und Dokumentation Baum- und Gehölzpflanzungen. Erstellung einer  Bestandsdokumentation zu den durchgeführten Baum- und Gehölzpflanzungen (Grünkataster), durch den AN mit allen vom AN zu erbringenden Nachweisen, Freigaben, Lieferscheinen, Pflegenachweisen, Abnahmeprotokollen, etc., e;1,0;psch;gaeb;Vergabeunterlagen/DE142016.X83
10;Boden der Pflanzgrube Hochst. profilgerecht lösen, auf unternehmerseitig bereitgestellte Fahrzeuge laden und zur Deponie des AN abfahren. Die Bereitstellung des Fahrzeuges ist in diese Position einzukalkulieren. Bodenmaterial mit einem Bauschuttanteil bis 20%. Die Pflanzgrube soll mindestens das 1,5;390,0;m3;gaeb;Vergabeunterlagen/DE142016.X83
20;Zulage zur Position vor, Bauschuttanteil 20-30%;50,0;m3;gaeb;Vergabeunterlagen/DE142016.X83
30;Hindernis aus Einzelsteinen (Findling) im Boden;2,0;m3;gaeb;Vergabeunterlagen/DE142016.X83
40;Hindernis aus Holz im Boden abbrechen,;2,0;m3;gaeb;Vergabeunterlagen/DE142016.X83
50;Hindernis aus Mauerwerk im Boden abbrechen,;2,0;m3;gaeb;Vergabeunterlagen/DE142016.X83
60;Hindernis aus Beton/ Stahlbeton im Boden abbrechen,;2,0;m3;gaeb;Vergabeunterlagen/DE142016.X83
10;Erstellung einer Untersuchung des Aushubes zur Feststellung der Zuordnungsklasse;1,0;St;gaeb;Vergabeunterlagen/DE142016.X83
