Pos.;Leistung;Menge;Einheit;Quelle;Datei
0010;Kabel DIN VDE 0276-603 (VDE 0276-603) NYY-J 5 x 6 RE.;80,0;m;gaeb;Vergabeunterlagen/Fachunterlagen/11_LV.X83
0020;Kabel DIN VDE 0276-603 (VDE 0276-603) NYY-J 5 x 6 RE.;40,0;m;gaeb;Vergabeunterlagen/Fachunterlagen/11_LV.X83
0030;Halogenfreie Installationsleitung DIN VDE 0250-214 (VDE 0250-214) NHXMH-J 5 x 10 RE, Cu-Zahl 480.;30,0;m;gaeb;Vergabeunterlagen/Fachunterlagen/11_LV.X83
0040;Halogenfreie Installationsleitung DIN VDE 0250-214 (VDE 0250-214) NHXMH-J 5 x 6 RE, Cu-Zahl 288.;30,0;m;gaeb;Vergabeunterlagen/Fachunterlagen/11_LV.X83
0050;Halogenfreie Installationsleitung DIN VDE 0250-214 (VDE 0250-214) NHXMH-J 5 x 4 RE, Cu-Zahl 192.;60,0;m;gaeb;Vergabeunterlagen/Fachunterlagen/11_LV.X83
0060;Halogenfreie Installationsleitung DIN VDE 0250-214 (VDE 0250-214) NHXMH-J 5 x 2,5 RE, Cu-Zahl 120.;250,0;m;gaeb;Vergabeunterlagen/Fachunterlagen/11_LV.X83
0070;Halogenfreie Installationsleitung DIN VDE 0250-214 (VDE 0250-214) NHXMH-J 5 x 1,5 RE, Cu-Zahl 72.;2850,0;m;gaeb;Vergabeunterlagen/Fachunterlagen/11_LV.X83
0080;Halogenfreie Installationsleitung DIN VDE 0250-214 (VDE 0250-214) NHXMH-J 3 x 6 RE, Cu-Zahl 173.;20,0;m;gaeb;Vergabeunterlagen/Fachunterlagen/11_LV.X83
0090;Halogenfreie Installationsleitung DIN VDE 0250-214 (VDE 0250-214) NHXMH-J 3 x 4 RE, Cu-Zahl 115.;250,0;m;gaeb;Vergabeunterlagen/Fachunterlagen/11_LV.X83
0100;Halogenfreie Installationsleitung DIN VDE 0250-214 (VDE 0250-214) NHXMH-J 3 x 2,5 RE.;2800,0;m;gaeb;Vergabeunterlagen/Fachunterlagen/11_LV.X83
0110;Halogenfreie Installationsleitung DIN VDE 0250-214 (VDE 0250-214) NHXMH-J 3 x 1,5 RE.;1890,0;m;gaeb;Vergabeunterlagen/Fachunterlagen/11_LV.X83
0120;Halogenfreie Installationsleitung DIN VDE 0250-214 (VDE 0250-214) NHXMH-J 7 x 1,5 RE, Cu-Zahl 101.;120,0;m;gaeb;Vergabeunterlagen/Fachunterlagen/11_LV.X83
