Pos.;Leistung;Menge;Einheit;Quelle;Datei
0010;Baustelleneinrichtung;1,0;psch;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0020;Mehr- / Minderkosten Baustelleneinrichtung;1,0;psch;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0030;Beantragen und Einrichten einer beidseitigen Parkverbotszone auf der öffentlichen Anliegerstrasse im Bereich der Baustellenzufahrt und während der gesamten Baumaßnahme vorhalten, inkl. sämtlicher erf. Anträge,;1,0;psch;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0040;Die Zuwegung zum Baufeld erfolgt von der öffentlichen Straße über einen vorhandenen Bürgersteig und Radfahrweg. .;1,0;psch;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0050;Zweistreifige Fahrbahn mit halbseitiger Sperrung;1,0;psch;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0060;Zweistreifige Fahrbahn mit Verkehrsführung über Behelfsfahrstreifen;1,0;psch;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0070;Arbeitsstelle von kürzerer Dauer auf Straßen mit;1,0;psch;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0080;Zweistreifige Fahrbahn mit halbseitiger Sperrung und Einmündung, Verkehrsregelung durch Lichtzeichenanlage mit;1,0;psch;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0090;Mobile Toilettenkabine;3,0;St;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0100;Vorhaltung / Reinigung über die Ausführungsfrist hinaus;1,0;Wo;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0110;Bauzaun;50,0;m;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0120;Vorhaltung Bauzaun;1,0;Wo;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0130;Sicherheitsleuchten für Bauzaun;8,0;St;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0140;Baustellenverkehrsfläche / -einfahrt;10,0;m²;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0150;vorbeschriebene Baustellenverkehrsfläche / -einfahrt nach Abschluss der Arbeiten auf Anordnung der Bauleitung komplett abräumen, übernehmen und zur freien Verwendung abfahren.;10,0;m²;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0160;Abtrag Oberboden;10,0;m²;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0170;Geotextil Baustellenverkehrsfläche;28,0;m²;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0180;Schuttcontainer, 5 m³ für gemischten Bauschutt, liefern, aufstellen und 2 x leeren einschl. Deponiegebühren.;3,0;St;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0190;Stahlplatten;25,0;m²;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0200;Einmessung Allgemein;1,0;psch;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0010;Demontage vorhandene Pflasterung aus Beton-Rechteckpflaster bis 20x10 cm, in unterschiedlichen Formaten, im Verband verlegt, einschließlich der erforderlichen Erdarbeiten.;190,0;m²;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0020;Demontage vorhandene Pflasterung aus Beton-Rechteckpflaster bis 30x15 cm, in unterschiedlichen Formaten, im Verband verlegt, einschließlich der erforderlichen Erdarbeiten.;40,0;m²;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
0030;Demontage vorhandene Pflasterung aus Kopfsteinpflaster bis, in unterschiedlichen Formaten verlegt, einschließlich der erforderlichen Erdarbeiten.;25,0;m²;gaeb;Vergabeunterlagen/2026-06-26 LV Tiefbau- und Elektroinstallation.X83
