Pos.;Leistung;Menge;Einheit;Quelle;Datei
0010;Geräte, Werkzeuge und sonstige Betriebsmittel, die zur;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0020;Baustelle von allen Geräten, Anlagen, Einrichtungen und;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0030;Bauzaun nach Unterlagen des AG einschl. der erforderli-;300,0;m;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0040;Bauzaun innerhalb der Baustelle umsetzen. Nicht wieder-;150,0;m;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0050;Absperren und Kennzeichnen der Baustelle, sowie der Baustellenausfahrten auf öffentliche Straßen nach StVO, StVZO, den Unfallverhütungsvorschriften, die RSA, sowie den ergänzenden Bestimmungen des jeweiligen Bundeslandes, den Vorschriften der Verkehrsbehörde mit elektrischer Beleuchtung, den erforde;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0060;Baustelleninformationsschild einschließlich Aufstell-;1,0;St;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0070;Baustelleninformationsschild und Aufstellvorrichtung;1,0;St;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0010;Notwendige Abstimmungen mit Dritten und sämtliche Koordinierungsleistungen, die zur jeweiligen Verkehrsführungsphase notwendig sind.;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0020;Beantragung der verkehrsbehördlichen Anordnungen für alle Verkehrsführungsphasen (Vollsperrung Hasentorstraße, Umleitungsstrecke für Hasentorstraße und Umleitung für Fußgänger) und Anpassung bei wesentlichen Änderungen bei den zuständigen Verkehrsbehörden.;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0030;Beschilderung der Verkehrsführung für die Vollsperrung der Hasentorstraße im Baubereich nach StVO, RSA und den Vorschriften der Verkehrsbehörde mit den erforderlichen Verkehrs- und Hinweiszeichen, ggf. erforderlichen Gelbmarkierungen sowie elektrischer Beleuchtung herstellen, incl. An- und Abtranspo;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0040;Beschilderung der Umleitungsstrecke nach StVO, RSA und den Vorschriften der Verkehrsbehörde mit den erforderlichen Verkehrs- und Hinweiszeichen, Plantafeln, ggf. erforderlichen Gelbmarkierungen sowie elektrischer Beleuchtung herstellen, incl. An- und Abtransport, Vorhaltung, Betrieb sowie ggf. erfor;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0050;Beschilderung der Umleitungsstrecke für Fußgänger nach StVO, RSA und den Vorschriften der Verkehrsbehörde mit den erforderlichen Verkehrs- und Hinweiszeichen, sowie elektrischer Beleuchtung herstellen, incl. An- und Abtransport, Vorhaltung, Betrieb sowie ggf. erforderlicher mehrmaliger Umstellungen ;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0060;Kontrolle der Verkehrssicherung an Arbeitsstellen und der Umleitungsführungen einschließlich temporärer Verkehrsschilder, baulicher Leitelemente gemäß ZTV-SA durchführen. Die Kontrolle ist unmittelbar nach deren Durchführung zu erfassen und zu dokumentieren. Arbeits- und Hilfsmittel sind vom AN zu s;300,0;d;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0010;Anliegerinformaton erstellen.;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0020;Gebühren, gem. VOB-B §4, für sämtliche erforderliche öffentlich-rechtliche Genehmigungen und Erlaubnisse, Schachtscheine, Sondernutzungen für die Erlaubnis zur Grundstücksbenutzung und Zustimmungen. Sowie die Aufwendungen für deren Erlangung wie Abstimmungsaufwendungen, Ortstermine, Erstellen der no;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0030;Koordinierung der Bauarbeiten und aller am Bauvorhaben beteiligter Firmen während der gesamten Bauzeit. Die Koordinierungsaufwendungen gelten für die Gesamtbaumaßnahme. Vergütet wird der über die normale Baukoordination hinausgehende Aufwand durch die verschiedenen Vorhabenbeteiligten, wie z.B. Ver-;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0040;Beweissicherung nach VOB/B § 3 Ziff. 4 durchführen. Beweissicherung vor Aufnahme der Bautätigkeit gemeinsam mit dem AG und den entsprechenden Eigentümern durchführen. Beweissicherung für im Baubereich, im Baufeld und im Zufahrtsbereich zur Baustelle vorhandene Bauwerke, Wege, Gewässer und Straßen et;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0050;Nach Abschluss der Arbeiten ist die schriftliche Zustimmung der von den Bauarbeiten betroffenen Grundstücks- und sonstigen Eigentümern über die ordnungsgemäße Angleichung der Grundstückszugänge sowie -zufahrten bzw. der Grundstücks- eingründungen sowie die Freistellung von Ansprüchen gegenüber dem A;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0060;Durchführung der Dokumentation zur Sicherung der schadlosen Verwertung gemäß § 5 Abs. 3 KrW - / AbfG. Dokumentation vom AN erstellen und Entsorgungsnachweis dem AG übergeben.;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0010;Einholung der Schachtgenehmigungen von allen Versorgungsunternehmen bzw. Rechtsträgern öffentlicher und privater Leitungen, die von der Baumaßnahme betroffen sind.;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0020;Suchgraben nach Unterlagen des AG einschließlich Hand-;50,0;m3;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0030;Suchgraben nach Unterlagen des AG einschließlich Hand-;50,0;m3;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0040;Sicherung und Schutz der im Baubereich vorhandenen Gasleitung (Stadtwerke Sangerhausen) inkl. Schieber. Leitungsverlauf siehe Lageplan.;200,0;m;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0050;Sicherung und Schutz der im Baubereich vorhandenen Trinkwasserleitung (Wasserverband Südharz) inkl. Schächte. Leitungsverlauf siehe Lageplan.;180,0;m;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0060;Sicherung und Schutz der im Baubereich vorhandenen Regenwasserleitung (Wasserverband Südharz) inkl. Schächte (5 Stück). Leitungsverlauf siehe Lageplan.;150,0;m;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0070;Vorhandenes Telekom-Kabel (bei Antreffen) trennen, aufnehmen und entfernen. Leitungen sind außer Betrieb. Notwendige Erdarbeiten sind einzukalkulieren.;120,0;m;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0010;Vorankündigung gemäß Baustellenverordnung erstellen und;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
0020;Sicherheits- und Gesundheitsschutzplan (SiGe-Plan) nach;1,0;Psch;gaeb;vom_unternehmen_auszufuellende_dokumente/LV.X83
