Pos.;Leistung;Menge;Einheit;Quelle;Datei
01;Durchführung der Beweissicherung zur Feststellung des Zustandes der Innenräume.;1,0;psch;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
01;Schutzvorrichtung als Bekleidung/Belag für Bodenflächen, aus OSB-Platten mit Nut und Feder und Malerfließ als Trennlage, Dicke ca. 14mm, Fließ überlappend verlegt, Am Rand überstehen lassen, Fugen abkleben. Herstellen, vorhalten und räumen, Abrechnung nach zu bekleidender/ zu belegender Fläche.;120,0;m²;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
02;Zulage für Schnitte und passende Verlegung der OSB-Platten an aufgehenden Wänden.;90,0;lfm;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
01;Bauzeitabtrennung als;13,6;m²;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
02;Bauzeitabtrennung als;13,5;m²;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
03;Staubschutz Ausstellungsstücke aus Sandstein;6,0;m;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
01;Bauzeitabtrennung über 2 Türen und an Wand befestigter Glastafel.;9,2;m²;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
02;Bauzeitabtrennung über Raumlänge errichten und vorhalten. Rückstandfreier Rückbau nach Fertigstellung der Baumaßnahme.;23,6;m²;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
03;Zulage zur vorherigen Position.;1,0;St;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
01;Bauzeitabtrennung über 1 Wandöffnung und an Wand befestigter Glastafel.;6,0;m²;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
02;Bauzeitabtrennung über 1 Wandöffnung.;24,15;m²;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
03;Zulage zur vorherigen Position.;3,0;St;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
04;Stoßfeste Einhausung aus Trennlage,Nadelholz und OSB-Platten für Glastafel herstellen und vorhalten.;1,0;St;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
01;Montage und Vorhaltung von Bautüren mit Abmessungen von ca. 100 × 200 cm über die gesamte Bauzeit, einschließlich Rahmen und Beschlägen. Rückbau und Abfahrt nach Fertigstellung der Baumaßnahme.;4,0;St;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
02;Profilzylinder passend für Einbau in vorher beschriebenen Bautüren.;4,0;St;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
03;Zulage für Verschlussüberwachungen, Magnetkontakte mit;4,0;St;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
04;Zulage für Verschlussüberwachungen, Riegelkontakt in;1,0;St;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
05;Mehrpreis für Lieferung eines zusätzlichen Schlüssels passend zur vorgenannten Bauschließanlage.;1,0;St;gaeb;Vergabeunterlagen/26-07-14-293-Los040-Staubschutz-LV_Angebotsaufforderung_V32.X83
