Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Baustelleneinrichtung;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
2;Schutz Bodenbelag;180,0;m²;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
3;Bauteile abkleben;400,0;m;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
4;Abkleben Fenster und Türen;100,0;m²;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
5;Staubschutz Einrichtungen;100,0;m²;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
6;Demontage und Wiedermontage von Türschildern;30,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
1;Raufasertapete ausbessern;5,0;m²;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
2;Überholungsbeschichtung Raufasertapete;360,0;m²;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
3;Rundstützen beschichten;4,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
4;Unterzüge beschichten;20,0;m²;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
5;Zulage für Anstrich hinter Heizkörpern;5,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
6;Acrylfuge herstellen/erneuern;600,0;m;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
1;Vorarbeiter;8,0;Std;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
2;Facharbeiter;8,0;Std;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
3;Helfer;4,0;Std;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
1;Baustelleneinrichtung;1,0;psch;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
2;Schutz Bodenbelag;420,0;m²;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
3;Bauteile abkleben;1200,0;m;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
4;Abkleben Fenster und Türen;320,0;m²;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
5;Staubschutz Einrichtungen;300,0;m²;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
1;Raufasertapete ausbessern;10,0;m²;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
2;Überholungsbeschichtung Raufasertapete;1300,0;m²;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
3;Zulage für Anstrich hinter Heizkörpern;22,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
4;Acrylfuge herstellen/erneuern;1600,0;m;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
5;Überholungsbeschichtung Zargen;36,0;St;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
1;Vorarbeiter;8,0;Std;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
2;Facharbeiter;8,0;Std;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
3;Helfer;4,0;Std;gaeb;Vergabeunterlagen/Version 1/26-08-05_ aa buchen_ maler_ 168816-002.x83
